age;year;27.3.a;27.4.a;27.4.b;27.4.c;27.7.d
0;1998;0;0;0;0;0
1;1998;208300;0;249190;733520;1104230
2;1998;2506900;0;1823140;4119130;13675610
3;1998;5095360;0;2997900;7212500;21387340
4;1998;5584990;0;3083960;7498560;22645260
5;1998;2777270;0;2694270;3948580;11366700
6;1998;1729410;0;1492610;2920960;5957510
7;1998;1894300;0;1870470;3636220;6586610
8;1998;1130690;0;1321300;3013590;5328890
9;1998;656370;0;581650;3482120;3536150
10;1998;229000;0;135080;1485190;2155240
11;1998;136210;0;163820;951280;1472030
12;1998;92200;0;13140;468550;133020
13;1998;88340;0;65910;510630;1142670
14;1998;31360;0;78110;101590;95330
15;1998;304010;0;383290;1406670;3010840
0;1999;0;0;0;0;0
1;1999;940100;0;8600;2300600;9165800
2;1999;4962000;0;38000;9380300;17069900
3;1999;2658300;0;23800;4010700;16436300
4;1999;2245400;0;21400;3604800;11713400
5;1999;1891300;0;18400;2954200;18259500
6;1999;1346500;0;16000;3658900;21168000
7;1999;1204100;0;11400;2736200;16684300
8;1999;841500;0;10300;2866200;18035000
9;1999;609200;0;5600;1886000;10412400
10;1999;281700;0;3400;1044100;6885200
11;1999;126100;0;900;387900;1629300
12;1999;138700;0;100;400;285900
13;1999;51500;0;300;400;1348600
14;1999;225700;0;1700;563500;2984200
15;1999;1064700;0;3300;1091100;1870500
0;2000;0;0;0;0;0
1;2000;0;0;14387400;23498400;32342400
2;2000;0;0;19157300;31784300;27033600
3;2000;0;0;9285700;13455200;5667800
4;2000;0;0;7104200;10552700;3764300
5;2000;0;0;8637600;11964000;10663400
6;2000;0;0;3655400;4177900;11805600
7;2000;0;0;4659000;5081400;9733000
8;2000;0;0;1929900;1881200;5185400
9;2000;0;0;2353500;2732600;6410400
10;2000;0;0;1551500;1515400;5894300
11;2000;0;0;985400;870900;5120100
12;2000;0;0;558600;484000;2028000
13;2000;0;0;291500;268700;1049800
14;2000;0;0;0;0;0
15;2000;0;0;2368100;2090600;7759200
0;2001;0;0;0;0;0
1;2001;4000;42000;370000;1283000;11085000
2;2001;26000;83000;997000;3209000;31981000
3;2001;125000;582000;6697000;22619000;143900000
4;2001;110000;291000;4832000;10961000;71395000
5;2001;19000;42000;777000;3034000;14595000
6;2001;43000;0;1041000;1899000;8469000
7;2001;66000;0;988000;1773000;15367000
8;2001;98000;0;2310000;1439000;10789000
9;2001;36000;0;1010000;997000;8147000
10;2001;6000;0;196000;1346000;8419000
11;2001;6000;0;196000;1034000;8332000
12;2001;6000;0;196000;450000;4689000
13;2001;0;0;0;361000;3369000
14;2001;0;0;0;0;1954000
15;2001;6000;0;196000;213000;5395000
0;2002;0;0;0;0;0
1;2002;0;0;4161400;35047400;21073400
2;2002;0;0;2792600;11069900;2906500
3;2002;0;0;3252400;13189100;2772200
4;2002;0;0;952800;5978700;4947700
5;2002;0;0;589200;3325400;1684200
6;2002;0;0;218900;2051300;3549900
7;2002;0;0;214300;2006200;3315800
8;2002;0;0;242400;2326000;7906000
9;2002;0;0;165600;1572700;4589200
10;2002;0;0;444400;1698400;4597000
11;2002;0;0;428000;1522800;3159400
12;2002;0;0;92800;881900;2046700
13;2002;0;0;65100;617500;1482500
14;2002;0;0;26100;255800;1004100
15;2002;0;0;133100;1240900;1333600
0;2003;0;0;0;0;0
1;2003;44800;491600;693000;7089400;5491600
2;2003;1900;39700;5483300;17938200;32690800
3;2003;0;155300;730000;6497700;16059300
4;2003;1900;249200;1711900;6353000;24891600
5;2003;0;93200;2007200;5745900;19083200
6;2003;300;35900;700100;2453700;7404300
7;2003;300;29000;384200;985100;4935200
8;2003;0;18000;847900;1167900;7522800
9;2003;2000;57400;971700;1144000;8727900
10;2003;1400;23500;107200;930800;444900
11;2003;5100;58400;403400;805200;2156900
12;2003;4200;46500;321000;928800;1986400
13;2003;1900;22300;127800;473400;1628400
14;2003;4200;46100;369100;632100;2347200
15;2003;85200;932600;422700;939800;2319000
0;2004;0;0;0;0;0
1;2004;51800;0;2958600;6704000;5936300
2;2004;54200;0;2442300;5050600;9990500
3;2004;122500;0;5762300;8463400;20030400
4;2004;61200;0;1001100;6745200;6701000
5;2004;251400;0;1945400;10812500;14759000
6;2004;248300;0;1064600;8358300;10501200
7;2004;156800;0;527300;4720500;5178100
8;2004;30400;0;241200;2360500;1191000
9;2004;90100;0;265100;2685300;2324900
10;2004;121200;0;500600;7030900;3301200
11;2004;69400;0;228000;3452400;2474200
12;2004;51300;0;212400;3324100;881200
13;2004;91100;0;348500;3833200;1882300
14;2004;12300;0;113500;1662000;457900
15;2004;156000;0;269000;2941200;5150300
0;2005;0;0;0;0;0
1;2005;0;0;0;219000;7603600
2;2005;656600;0;7237600;9374400;35117100
3;2005;345900;0;3672600;6637400;19163600
4;2005;76200;0;294500;8194300;19234700
5;2005;62600;0;0;4037200;8476700
6;2005;100200;0;0;6375400;10180700
7;2005;125600;0;497100;2785400;1782800
8;2005;67700;0;248600;1279000;1261000
9;2005;24500;0;248600;1506700;651400
10;2005;55500;0;248600;1734200;1759500
11;2005;60700;0;994300;2838700;1863800
12;2005;99000;0;497100;1419300;297100
13;2005;23000;0;745700;2470600;891200
14;2005;33600;0;248600;1051200;1167400
15;2005;101000;0;2237100;6045500;1472200
0;2006;0;0;0;0;8000
1;2006;0;0;0;0;5007800
2;2006;235100;0;653000;1447900;21386700
3;2006;1026300;49400;3926800;12240900;44217700
4;2006;346000;754800;2298500;10397600;26933300
5;2006;1896100;10779400;3613200;16846800;37927400
6;2006;153800;513700;1314700;6449200;14858500
7;2006;260700;1241800;492000;1974100;9547100
8;2006;143600;977400;0;0;4564700
9;2006;109000;742100;0;0;596800
10;2006;24600;167800;0;0;1133700
11;2006;21200;144300;0;0;0
12;2006;57000;388100;0;0;1173900
13;2006;68800;468400;0;0;3900
14;2006;44200;301500;0;0;564900
15;2006;29000;197400;0;0;559300
0;2007;0;0;0;0;0
1;2007;0;0;115560;377920;2905160
2;2007;3230;176810;173500;1122860;13980240
3;2007;15020;823580;392170;2356160;19229520
4;2007;50160;2750500;1418530;8874660;69516080
5;2007;27470;1506180;872700;6767870;62040810
6;2007;57060;3128730;1567280;10504160;15219500
7;2007;33920;1859790;890170;6310610;14813630
8;2007;24700;1354000;616540;4106360;11154160
9;2007;6450;353600;161020;2612880;4754860
10;2007;4450;243930;111070;681220;614100
11;2007;0;0;138130;451740;0
12;2007;0;0;0;0;214830
13;2007;0;0;0;324980;399280
14;2007;0;0;0;649960;0
15;2007;0;0;0;0;0
0;2008;0;0;0;0;0
1;2008;0;0;34010;126780;1517390
2;2008;0;0;156750;592490;7830870
3;2008;0;0;477760;1980790;32604880
4;2008;0;0;227050;946400;15051850
5;2008;930;31600;272240;2116630;32854190
6;2008;460;15800;422820;2021600;32575230
7;2008;108830;3709050;210230;1305650;21190390
8;2008;2250;76740;264150;1169950;19739000
9;2008;6940;236640;89700;543830;8980700
10;2008;1590;54090;100100;396100;6745580
11;2008;1730;58980;25020;98620;1680010
12;2008;1000;34230;25150;110840;1870740
13;2008;1720;58680;190;17520;273370
14;2008;1510;51460;25340;128360;2144210
15;2008;2830;96600;600;56210;877200
0;2009;0;0;0;0;0
