;Landings;BMS landing;Discards;Logbook Registered Discard
27.4.c;1056.33288;0.149;0;0
27.7.d;9075.45038;1.919;186.81618;0
27.3.a.nshm;0.11;0;0.429;0
27.4.a.nshm;2210.95462;0;1.714;0
27.4.b;41.34926;0;11.899;0
